Name,TaxID
Lepilemur leucopus,100475
Allochrocebus lhoesti,100224
Macaca nemestrina nemestrina,90388
Macaca leonina,90387
Macaca fascicularis philippinensis,90386
Macaca ochreata,90385
Macaca nigrescens,90384
Macaca maura,90383
Macaca hecki,90382
Macaca brunnescens,90381
Galagoides demidoff,89672
Galagoides,89671
Semnopithecus entellus,88029
Semnopithecus,88028
Varecia variegata variegata,87289
Eulemur flavifrons,87288
Cacajao calvus calvus,85699
Mirza,83691
Propithecus diadema,83281
Cercocebus torquatus torquatus,81944
Hylobates moloch,81572
Lepilemur ruficaudatus,78866
Lepilemur septentrionalis,78584
Lepilemur dorsalis,78583
Saguinus labiatus,78454
Presbytis femoralis,78453
Presbytis comata,78452
Presbytis melalophos,78451
Macaca cyclopis,78449
Saguinus midas midas,78354
Callicebus personatus personatus,78275
Callicebus personatus nigrifrons,78274
Plecturocebus hoffmannsi,78255
